Year,Month,rf,month
1999,8,.00165,1999m8
1999,9,.00165,1999m9
1999,10,.00165,1999m10
1999,11,.00165,1999m11
1999,12,.00165,1999m12
2000,1,.00165,2000m1
2000,2,.00165,2000m2
2000,3,.00165,2000m3
2000,4,.00165,2000m4
2000,5,.00165,2000m5
2000,6,.00165,2000m6
2000,7,.00165,2000m7
2000,8,.00165,2000m8
2000,9,.00165,2000m9
2000,10,.00165,2000m10
2000,11,.00165,2000m11
2000,12,.00165,2000m12
2001,1,.00165,2001m1
2001,2,.00165,2001m2
2001,3,.00165,2001m3
2001,4,.00165,2001m4
2001,5,.00165,2001m5
2001,6,.00165,2001m6
2001,7,.00165,2001m7
2001,8,.00165,2001m8
2001,9,.00165,2001m9
2001,10,.00165,2001m10
2001,11,.00165,2001m11
2001,12,.00165,2001m12
2002,1,.00165,2002m1
2002,2,.001586,2002m2
2002,3,.001425,2002m3
2002,4,.001425,2002m4
2002,5,.001425,2002m5
2002,6,.001425,2002m6
2002,7,.001425,2002m7
2002,8,.001656,2002m8
2002,9,.001852,2002m9
2002,10,.001892,2002m10
2002,11,.001892,2002m11
2002,12,.001892,2002m12
2003,1,.001892,2003m1
2003,2,.001892,2003m2
2003,3,.001892,2003m3
2003,4,.001886,2003m4
2003,5,.001823,2003m5
2003,6,.001891,2003m6
2003,7,.001945,2003m7
2003,8,.001964,2003m8
2003,9,.002225,2003m9
2003,10,.002246,2003m10
2003,11,.002251,2003m11
2003,12,.002046,2003m12
2004,1,.002046,2004m1
2004,2,.001888,2004m2
2004,3,.001682,2004m3
2004,4,.001776,2004m4
2004,5,.00202,2004m5
2004,6,.002354,2004m6
2004,7,.002402,2004m7
2004,8,.002377,2004m8
2004,9,.002008,2004m9
2004,10,.00209,2004m10
2004,11,.002086,2004m11
2004,12,.002035,2004m12
2005,1,.002085,2005m1
2005,2,.00196,2005m2
2005,3,.001454,2005m3
2005,4,.000954,2005m4
2005,5,.000967,2005m5
2005,6,.00094,2005m6
2005,7,.000952,2005m7
2005,8,.000895,2005m8
2005,9,.00093,2005m9
2005,10,.000969,2005m10
2005,11,.001173,2005m11
2005,12,.001507,2005m12
2006,1,.001507,2006m1
2006,2,.001466,2006m2
2006,3,.001453,2006m3
2006,4,.001548,2006m4
2006,5,.001672,2006m5
2006,6,.001811,2006m6
2006,7,.001981,2006m7
2006,8,.002051,2006m8
2006,9,.002067,2006m9
2006,10,.002167,2006m10
2006,11,.002289,2006m11
2006,12,.00234,2006m12
2007,1,.00234,2007m1
2007,2,.002374,2007m2
2007,3,.002364,2007m3
2007,4,.002427,2007m4
2007,5,.002487,2007m5
2007,6,.002551,2007m6
2007,7,.00262,2007m7
2007,8,.002682,2007m8
2007,9,.002934,2007m9
2007,10,.00325,2007m10
2007,11,.003545,2007m11
2007,12,.003643,2007m12
2008,1,.003731,2008m1
2008,2,.003753,2008m2
2008,3,.003751,2008m3
2008,4,.003745,2008m4
2008,5,.003743,2008m5
2008,6,.003732,2008m6
2008,7,.003682,2008m7
2008,8,.003604,2008m8
2008,9,.003591,2008m9
2008,10,.003522,2008m10
2008,11,.003063,2008m11
2008,12,.001908,2008m12
2009,1,.001256,2009m1
2009,2,.001088,2009m2
2009,3,.001041,2009m3
2009,4,.001013,2009m4
2009,5,.00101,2009m5
2009,6,.001043,2009m6
2009,7,.001227,2009m7
2009,8,.001435,2009m8
2009,9,.001459,2009m9
2009,10,.001481,2009m10
2009,11,.001499,2009m11
2009,12,.001516,2009m12
2010,1,.001553,2010m1
2010,2,.001604,2010m2
2010,3,.001619,2010m3
2010,4,.001616,2010m4
2010,5,.001646,2010m5
2010,6,.002004,2010m6
2010,7,.002134,2010m7
2010,8,.002055,2010m8
2010,9,.00213,2010m9
2010,10,.002246,2010m10
2010,11,.002446,2010m11
2010,12,.00323,2010m12
2011,1,.00393,2011m1
2011,2,.00432,2011m2
2011,3,.003581,2011m3
2011,4,.003592,2011m4
2011,5,.003795,2011m5
2011,6,.004514,2011m6
2011,7,.005108,2011m7
2011,8,.004642,2011m8
2011,9,.004687,2011m9
2011,10,.0047,2011m10
2011,11,.004731,2011m11
2011,12,.004565,2011m12
2012,1,.004565,2012m1
2012,2,.004446,2012m2
2012,3,.004208,2012m3
2012,4,.004006,2012m4
2012,5,.003739,2012m5
2012,6,.003415,2012m6
2012,7,.003225,2012m7
2012,8,.003031,2012m8
2012,9,.003047,2012m9
2012,10,.003083,2012m10
2012,11,.00314,2012m11
2012,12,.00322,2012m12
2013,1,.003246,2013m1
2013,2,.00324,2013m2
2013,3,.003236,2013m3
2013,4,.003235,2013m4
2013,5,.003235,2013m5
2013,6,.004241,2013m6
2013,7,.003972,2013m7
2013,8,.00388,2013m8
2013,9,.003884,2013m9
2013,10,.003897,2013m10
2013,11,.00392,2013m11
2013,12,.004417,2013m12
2014,1,.004654,2014m1
2014,2,.004657,2014m2
2014,3,.004587,2014m3
2014,4,.004582,2014m4
2014,5,.004369,2014m5
2014,6,.003998,2014m6
2014,7,.003955,2014m7
2014,8,.003905,2014m8
2014,9,.003849,2014m9
2014,10,.003758,2014m10
2014,11,.003559,2014m11
2014,12,.003884,2014m12
2015,1,.004126,2015m1
2015,2,.004087,2015m2
2015,3,.004083,2015m3
2015,4,.003838,2015m4
2015,5,.002815,2015m5
2015,6,.002524,2015m6
2015,7,.002644,2015m7
2015,8,.002592,2015m8
2015,9,.002602,2015m9
2015,10,.002618,2015m10
2015,11,.002534,2015m11
2015,12,.002549,2015m12
2016,1,.002544,2016m1
2016,2,.002504,2016m2
2016,3,.002341,2016m3
2016,4,.002381,2016m4
2016,5,.00243,2016m5
2016,6,.002461,2016m6
2016,7,.002413,2016m7
2016,8,.002338,2016m8
2016,9,.002327,2016m9
2016,10,.002339,2016m10
2016,11,.002433,2016m11
2016,12,.002643,2016m12
2017,1,.003047,2017m1
2017,2,.003466,2017m2
2017,3,.003623,2017m3
2017,4,.003579,2017m4
2017,5,.003699,2017m5
2017,6,.003895,2017m6
2017,7,.003596,2017m7
2017,8,.003602,2017m8
2017,9,.00365,2017m9
2017,10,.003641,2017m10
2017,11,.003798,2017m11
2017,12,.00403,2017m12
2018,1,.003924,2018m1
2018,2,.003924,2018m2
2018,3,.003899,2018m3
2018,4,.003464,2018m4
2018,5,.003425,2018m5
2018,6,.003597,2018m6
2018,7,.003002,2018m7
2018,8,.002402,2018m8
2018,9,.002368,2018m9
2018,10,.002386,2018m10
2018,11,.002526,2018m11
2018,12,.002664,2018m12
2019,1,.002511,2019m1
2019,2,.002357,2019m2
2019,3,.002325,2019m3
2019,4,.002339,2019m4
2019,5,.002423,2019m5
2019,6,.002404,2019m6
2019,7,.002185,2019m7
2019,8,.002218,2019m8
2019,9,.002261,2019m9
2019,10,.002304,2019m10
2019,11,.00249,2019m11
2019,12,.002524,2019m12
2020,1,.002403,2020m1
2020,2,.002178,2020m2
2020,3,.001796,2020m3
2020,4,.001279,2020m4
2020,5,.001172,2020m5
2020,6,.001589,2020m6
2020,7,.001932,2020m7
2020,8,.002171,2020m8
2020,9,.002231,2020m9
2020,10,.002332,2020m10
2020,11,.002524,2020m11
2020,12,.002439,2020m12
2021,1,.002205,2021m1
2021,2,.002342,2021m2
2021,3,.002261,2021m3
2021,4,.002173,2021m4
2021,5,.002102,2021m5
2021,6,.00204,2021m6
2021,7,.002015,2021m7
2021,8,.001969,2021m8
2021,9,.00198,2021m9
2021,10,.002027,2021m10
2021,11,.002055,2021m11
2021,12,.002079,2021m12
2022,1,.00207,2022m1
2022,2,.002015,2022m2
2022,3,.001971,2022m3
2022,4,.001935,2022m4
2022,5,.001758,2022m5
2022,6,.001667,2022m6
2022,7,.00162,2022m7
2022,8,.001366,2022m8
2022,9,.001342,2022m9
2022,10,.001413,2022m10
2022,11,.001676,2022m11
2022,12,.001931,2022m12
2023,1,.001973,2023m1
2023,2,.001986,2023m2
2023,3,.002066,2023m3
2023,4,.002025,2023m4
2023,5,.002024,2023m5
